comment %    cl-pu-po-pr-sh  name of the file
0%   (0/5)   1  4  0  0  0   graphisme/PanneauDialogue.java
0%   (0/6)   1  5  0  0  4   graphisme/PanneauChargement.java
0%   (0/8)   1  7  0  0  3   graphisme/PanneauNouvellePartie.java
0%   (0/9)   1  8  0  0  6   graphisme/PanneauAction.java
0%   (0/3)   1  2  0  0  9   graphisme/Desc.java
0%   (0/7)   1  6  0  0  0   graphisme/PanneauDialogueInf.java
0%   (0/2)   1  1  0  0  6   graphisme/Champ.java
0%   (0/14)  3  11 0  0  12  graphisme/EtiquetteJoueur.java
28%  (2/7)   1  6  0  0  2   usuel/fichier.java
0%   (0/4)   1  3  0  0  0   usuel/Th.java
0%   (0/8)   1  7  0  0  4   usuel/Chrono.java
0%   (0/2)   1  1  0  0  2   usuel/ListeVideException.java
11%  (1/9)   1  8  0  0  5   usuel/GInt.java
0%   (0/8)   1  7  0  0  8   usuel/Pixel.java
0%   (0/2)   1  1  0  0  1   usuel/ThTriche.java
0%   (0/3)   1  2  0  0  1   usuel/menu.java
100% (7/7)   2  4  0  1  2   usuel/test.java
0%   (0/6)   1  2  0  3  6   usuel/Os.java
16%  (4/25)  2  23 0  0  10  usuel/GString.java
0%   (0/4)   1  3  0  0  0   usuel/chargerCarte.java
95%  (19/20) 1  19 0  0  0   usuel/math.java
0%   (0/14)  1  13 0  0  0   usuel/decoderUnFichier.java
0%   (0/13)  1  12 0  0  1   usuel/Message.java
0%   (0/3)   1  2  0  0  0   usuel/ThImage.java
0%   (0/7)   1  6  0  0  0   usuel/print.java
0%   (0/7)   1  6  0  0  7   usuel/CMessage.java
0%   (0/4)   1  3  0  0  1   usuel/chargerLesOptions.java
0%   (0/8)   1  7  0  0  6   usuel/CInt.java
100% (3/3)   1  2  0  0  3   usuel/sauvegarderUnePartie.java
0%   (0/5)   1  4  0  0  9   usuel/debug.java
0%   (0/2)   1  1  0  0  0   usuel/TestCaseMuet.java
0%   (0/5)   1  4  0  0  0   usuel/outils/trad.java
53%  (21/39) 1  38 0  0  35  usuel/Img.java
6%   (1/15)  1  14 0  0  1   usuel/allea.java
0%   (0/4)   1  3  0  0  0   usuel/ascii.java
0%   (0/2)   1  1  0  0  1   usuel/ThGraphisme.java
0%   (0/7)   1  6  0  0  5   usuel/GMessage.java
83%  (5/6)   1  5  0  0  1   usuel/g.java
16%  (1/6)   1  5  0  0  0   usuel/Sound.java
0%   (0/2)   1  1  0  0  0   usuel/diff.java
100% (16/16) 1  15 0  0  12  usuel/image.java
0%   (0/7)   1  6  0  0  6   usuel/CCInt.java
100% (1/1)   1  0  0  0  0   usuel/car.java
0%   (0/8)   1  7  0  0  1   usuel/ent.java
50%  (5/10)  1  9  0  0  13  usuel/Temps.java
0%   (0/2)   1  1  0  0  1   usuel/ElementListeIntrouvableException.java
100% (5/5)   1  4  0  0  3   usuel/stats.java
0%   (0/5)   1  4  0  0  4   usuel/ThMusique.java
0%   (0/4)   1  2  0  1  0   usuel/chargerLesTouches.java
0%   (0/3)   1  2  0  0  0   usuel/lireUnFichier.java
21%  (11/52) 1  51 0  0  6   usuel/tableau.java
0%   (0/5)   1  3  0  1  0   usuel/ThTrad.java
0%   (0/8)   1  7  0  0  0   usuel/Musique.java
16%  (4/25)  3  22 0  0  10  usuel/CString.java
0%   (0/3)   1  2  0  0  0   usuel/FichierDejaPresentException.java
0%   (0/18)  1  16 0  1  5   usuel/erreur.java
0%   (0/12)  1  10 0  1  0   usuel/read.java
100% (15/15) 1  14 0  0  9   usuel/chargerLesTraductions.java
0%   (0/5)   1  3  0  1  0   usuel/modificationDeFichier.java
76%  (19/25) 1  24 0  0  3   usuel/str.java
0%   (0/6)   1  5  0  0  4   usuel/GGInt.java
0%   (0/6)   1  4  0  1  0   usuel/opperationSurString.java
0%   (0/3)   1  2  0  0  0   usuel/ecrireUnFichier.java
0%   (0/2)   1  1  0  0  2   usuel/clear.java
0%   (0/4)   2  2  0  0  0   usuel/ListeFontes.java
19%  (271/1356) 172 1149 2 33 914  global
